attack,25730950,20196007,10179964, attack_benchmark,25730528,20195581,10179539,,1.64007516674357E-05,2.1093723423951E-05,4.17504171849039E-05
attack_ntmp,25731283,20195603,10179556, attack_ntmp_benchmark,25730569,20181153,10165103,,2.77490948606694E-05,0.000716014590444857,0.00142182523876049
attack_memset,370732456,165202094,75185051, attack_memset_benchmark,370732403,165202134,75185101,,1.42960258048984E-07,2.42127622879254E-07,6.65025375173733E-07
no_flush,600730838,400202101,400186056, no_flush_benchmark,600730478,400202136,400186089,,5.9927041024877E-07,8.74558050834591E-08,8.24616369910849E-08
random,3111215152,1155191630,840175590, random_benchmark,3111214440,1155189061,840173028,,2.28849542109994E-07,2.22387839941639E-06,3.04937187295663E-06
rh,151202042,69117035,51836868, rh_benchmark,151201573,69118003,51837841,,3.10181958226056E-06,1.40050342600321E-05,1.87700718477068E-05
double_sided,16384473,8190922,4094883, double_sided_benchmark,16384303,8192038,4096004,,1.03757846763454E-05,0.000136229836824487,0.000273681373358034
attack,25730894,20182367,10166310, attack_benchmark,25730523,20195087,10179041,,1.44186731066446E-05,0.000629856162540919,0.00125070721298794
attack_ntmp,25731256,20195599,10179561, attack_ntmp_benchmark,25730595,20187652,10171615,,2.56892621410426E-05,0.000393656478722736,0.000781193546944118
attack_memset,370732455,165202094,75185054, attack_memset_benchmark,370732400,165202126,75185091,,1.48354985968316E-07,1.93702107683529E-07,4.92118843082866E-07
no_flush,600730839,400202098,400186055, no_flush_benchmark,600730476,400202139,400186104,,6.04264332345942E-07,1.02448228044079E-07,1.2244303215486E-07
random,3111215162,1155184326,840168286, random_benchmark,3111214444,1155186026,840169991,,2.3077804919062E-07,1.47162444986155E-06,2.02935122447143E-06
rh,151202017,69118826,51838659, rh_benchmark,151201571,69119768,51839606,,2.94970480167828E-06,1.36285179660904E-05,1.82678857551502E-05
double_sided,16384471,8190824,4094785, double_sided_benchmark,16384305,8191813,4095779,,1.01316473295633E-05,0.000120730294990865,0.00024268887554724
attack,25730946,20192215,10176171, attack_benchmark,25730529,20198883,10182845,,1.62064293353627E-05,0.000330117264405165,0.000655416045319358
attack_ntmp,25731273,20190513,10174465, attack_ntmp_benchmark,25730561,20187584,10171545,,2.76713749070609E-05,0.000145089179567005,0.000287075365640126
attack_memset,370732455,165202100,75185061, attack_memset_benchmark,370732403,165202138,75185100,,1.40262894689569E-07,2.30021236165842E-07,5.18719799534748E-07
no_flush,600730839,400202112,400186072, no_flush_benchmark,600730477,400202136,400186100,,6.0259969130882E-07,5.9969694914372E-08,6.99674476449832E-08
random,3111215156,1155187381,840171337, random_benchmark,3111214435,1155193070,840177029,,2.31742303548421E-07,4.92471790884272E-06,6.77476270301601E-06
rh,151202069,69115309,51835142, rh_benchmark,151201576,69119101,51838939,,3.26054802497561E-06,5.48618246640679E-05,7.32460978802055E-05
double_sided,16384469,8191420,4095381, double_sided_benchmark,16384303,8192049,4096015,,1.01316485663137E-05,7.67817672965579E-05,0.000154784589411904
attack,25730940,20197808,10181759, attack_benchmark,25730555,20195700,10179663,,1.4962755370026E-05,0.000104378654862174,0.000205900725790235
attack_ntmp,25731256,20187626,10171583, attack_ntmp_benchmark,25730561,20183823,10167788,,2.70106819668642E-05,0.000188418219878365,0.000373237522261479
attack_memset,370732457,165202090,75185048, attack_memset_benchmark,370732404,165202128,75185092,,1.42960257663368E-07,2.30021250089466E-07,5.85222400206679E-07
no_flush,600730839,400202093,400186039, no_flush_benchmark,600730477,400202131,400186092,,6.0259969130882E-07,9.49520181340564E-08,1.32438385689826E-07
random,3111215175,1155028393,840012293, random_benchmark,3111214435,1155193023,840176985,,2.37849243586452E-07,0.000142512979841638,0.000196020603920732
rh,151202033,69117573,51837406, rh_benchmark,151201560,69120130,51839968,,3.12827460245781E-06,3.69935646822423E-05,4.94213268032881E-05
double_sided,16384462,8191926,4095887, double_sided_benchmark,16384302,8191917,4095883,,9.7654449972907E-06,1.09864394378019E-06,9.76590395770582E-07
attack,25731272,20195537,10179483, attack_benchmark,25730532,20195052,10179016,,2.87596074577859E-05,2.40157836681975E-05,4.58786979016439E-05
attack_ntmp,25731269,20191733,10175687, attack_ntmp_benchmark,25730572,20186683,10170642,,2.70883989675783E-05,0.000250164923083203,0.000496035550164876
attack_memset,370732456,165202093,75185054, attack_memset_benchmark,370732399,165202128,75185085,,1.53749713145519E-07,2.11861677713982E-07,4.12315820351869E-07
no_flush,600730838,400202105,400186059, no_flush_benchmark,600730479,400202136,400186091,,5.97605769225503E-07,7.74608559310638E-08,7.99627991068785E-08
random,3111215161,1155191309,840175270, random_benchmark,3111214444,1155182957,840166912,,2.30456631294812E-07,7.23002356413747E-06,9.94802328040264E-06
rh,151202028,68982117,51701950, rh_benchmark,151201564,69119271,51839109,,3.06875132587914E-06,0.00198430912270472,0.00264585951892036
