# started on Thu Feb 29 14:30:46 2024

#           time             counts unit events
     0.050041495      <not counted>      cpu_core/event=0xd1,umask=0x01/u                                     (0,00%)
     0.050041495      <not counted>      cpu_core/event=0xc2,umask=0x02,inv=1,cmask=0x01/u                                     (0,00%)
     0.051272080      <not counted>      cpu_core/event=0x2e,umask=0x41/u                                     (0,00%)
     0.051272080      <not counted>      cpu_core/event=0x24,umask=0xc1/u                                     (0,00%)
     0.051272080      <not counted>      cpu_core/event=0xd1,umask=0x01/u                                     (0,00%)
     0.051272080      <not counted>      cpu_core/event=0xc2,umask=0x02,inv=1,cmask=0x01/u                                     (0,00%)
     0.052454827      <not counted>      cpu_core/event=0x2e,umask=0x41/u                                     (0,00%)
     0.052454827      <not counted>      cpu_core/event=0x24,umask=0xc1/u                                     (0,00%)
     0.052454827      <not counted>      cpu_core/event=0xd1,umask=0x01/u                                     (0,00%)
     0.052454827      <not counted>      cpu_core/event=0xc2,umask=0x02,inv=1,cmask=0x01/u                                     (0,00%)
     0.053635762      <not counted>      cpu_core/event=0x2e,umask=0x41/u                                     (0,00%)
     0.053635762      <not counted>      cpu_core/event=0x24,umask=0xc1/u                                     (0,00%)
     0.053635762      <not counted>      cpu_core/event=0xd1,umask=0x01/u                                     (0,00%)
     0.053635762      <not counted>      cpu_core/event=0xc2,umask=0x02,inv=1,cmask=0x01/u                                     (0,00%)
     0.054815604      <not counted>      cpu_core/event=0x2e,umask=0x41/u                                     (0,00%)
     0.054815604      <not counted>      cpu_core/event=0x24,umask=0xc1/u                                     (0,00%)
     0.054815604      <not counted>      cpu_core/event=0xd1,umask=0x01/u                                     (0,00%)
     0.054815604      <not counted>      cpu_core/event=0xc2,umask=0x02,inv=1,cmask=0x01/u                                     (0,00%)
     0.056013299      <not counted>      cpu_core/event=0x2e,umask=0x41/u                                     (0,00%)
     0.056013299      <not counted>      cpu_core/event=0x24,umask=0xc1/u                                     (0,00%)
     0.056013299      <not counted>      cpu_core/event=0xd1,umask=0x01/u                                     (0,00%)
     0.056013299      <not counted>      cpu_core/event=0xc2,umask=0x02,inv=1,cmask=0x01/u                                     (0,00%)
     0.057198063      <not counted>      cpu_core/event=0x2e,umask=0x41/u                                     (0,00%)
     0.057198063      <not counted>      cpu_core/event=0x24,umask=0xc1/u                                     (0,00%)
     0.057198063      <not counted>      cpu_core/event=0xd1,umask=0x01/u                                     (0,00%)
     0.057198063      <not counted>      cpu_core/event=0xc2,umask=0x02,inv=1,cmask=0x01/u                                     (0,00%)
     0.058381799      <not counted>      cpu_core/event=0x2e,umask=0x41/u                                     (0,00%)
     0.058381799      <not counted>      cpu_core/event=0x24,umask=0xc1/u                                     (0,00%)
     0.058381799      <not counted>      cpu_core/event=0xd1,umask=0x01/u                                     (0,00%)
     0.058381799      <not counted>      cpu_core/event=0xc2,umask=0x02,inv=1,cmask=0x01/u                                     (0,00%)
     0.059536113      <not counted>      cpu_core/event=0x2e,umask=0x41/u                                     (0,00%)
     0.059536113      <not counted>      cpu_core/event=0x24,umask=0xc1/u                                     (0,00%)
     0.059536113      <not counted>      cpu_core/event=0xd1,umask=0x01/u                                     (0,00%)
     0.059536113      <not counted>      cpu_core/event=0xc2,umask=0x02,inv=1,cmask=0x01/u                                     (0,00%)
#           time             counts unit events
     0.060725512      <not counted>      cpu_core/event=0x2e,umask=0x41/u                                     (0,00%)
     0.060725512      <not counted>      cpu_core/event=0x24,umask=0xc1/u                                     (0,00%)
     0.060725512      <not counted>      cpu_core/event=0xd1,umask=0x01/u                                     (0,00%)
     0.060725512      <not counted>      cpu_core/event=0xc2,umask=0x02,inv=1,cmask=0x01/u                                     (0,00%)
     0.061968326      <not counted>      cpu_core/event=0x2e,umask=0x41/u                                     (0,00%)
     0.061968326      <not counted>      cpu_core/event=0x24,umask=0xc1/u                                     (0,00%)
     0.061968326      <not counted>      cpu_core/event=0xd1,umask=0x01/u                                     (0,00%)
     0.061968326      <not counted>      cpu_core/event=0xc2,umask=0x02,inv=1,cmask=0x01/u                                     (0,00%)
     0.063147573      <not counted>      cpu_core/event=0x2e,umask=0x41/u                                     (0,00%)
     0.063147573      <not counted>      cpu_core/event=0x24,umask=0xc1/u                                     (0,00%)
     0.063147573      <not counted>      cpu_core/event=0xd1,umask=0x01/u                                     (0,00%)
     0.063147573      <not counted>      cpu_core/event=0xc2,umask=0x02,inv=1,cmask=0x01/u                                     (0,00%)
     0.064332659      <not counted>      cpu_core/event=0x2e,umask=0x41/u                                     (0,00%)
     0.064332659      <not counted>      cpu_core/event=0x24,umask=0xc1/u                                     (0,00%)
     0.064332659      <not counted>      cpu_core/event=0xd1,umask=0x01/u                                     (0,00%)
     0.064332659      <not counted>      cpu_core/event=0xc2,umask=0x02,inv=1,cmask=0x01/u                                     (0,00%)
     0.065517554      <not counted>      cpu_core/event=0x2e,umask=0x41/u                                     (0,00%)
     0.065517554      <not counted>      cpu_core/event=0x24,umask=0xc1/u                                     (0,00%)
     0.065517554      <not counted>      cpu_core/event=0xd1,umask=0x01/u                                     (0,00%)
     0.065517554      <not counted>      cpu_core/event=0xc2,umask=0x02,inv=1,cmask=0x01/u                                     (0,00%)
     0.066711268      <not counted>      cpu_core/event=0x2e,umask=0x41/u                                     (0,00%)
     0.066711268      <not counted>      cpu_core/event=0x24,umask=0xc1/u                                     (0,00%)
     0.066711268      <not counted>      cpu_core/event=0xd1,umask=0x01/u                                     (0,00%)
     0.066711268      <not counted>      cpu_core/event=0xc2,umask=0x02,inv=1,cmask=0x01/u                                     (0,00%)
     0.067862208      <not counted>      cpu_core/event=0x2e,umask=0x41/u                                     (0,00%)
     0.067862208      <not counted>      cpu_core/event=0x24,umask=0xc1/u                                     (0,00%)
     0.067862208      <not counted>      cpu_core/event=0xd1,umask=0x01/u                                     (0,00%)
     0.067862208      <not counted>      cpu_core/event=0xc2,umask=0x02,inv=1,cmask=0x01/u                                     (0,00%)
     0.069044361      <not counted>      cpu_core/event=0x2e,umask=0x41/u                                     (0,00%)
     0.069044361      <not counted>      cpu_core/event=0x24,umask=0xc1/u                                     (0,00%)
     0.069044361      <not counted>      cpu_core/event=0xd1,umask=0x01/u                                     (0,00%)
     0.069044361      <not counted>      cpu_core/event=0xc2,umask=0x02,inv=1,cmask=0x01/u                                     (0,00%)
     0.070228843      <not counted>      cpu_core/event=0x2e,umask=0x41/u                                     (0,00%)
     0.070228843      <not counted>      cpu_core/event=0x24,umask=0xc1/u                                     (0,00%)
     0.070228843      <not counted>      cpu_core/event=0xd1,umask=0x01/u                                     (0,00%)
     0.070228843      <not counted>      cpu_core/event=0xc2,umask=0x02,inv=1,cmask=0x01/u                                     (0,00%)
     0.071432231      <not counted>      cpu_core/event=0x2e,umask=0x41/u                                     (0,00%)
     0.071432231      <not counted>      cpu_core/event=0x24,umask=0xc1/u                                     (0,00%)
     0.071432231      <not counted>      cpu_core/event=0xd1,umask=0x01/u                                     (0,00%)
     0.071432231      <not counted>      cpu_core/event=0xc2,umask=0x02,inv=1,cmask=0x01/u                                     (0,00%)
     0.072613417      <not counted>      cpu_core/event=0x2e,umask=0x41/u                                     (0,00%)
     0.072613417      <not counted>      cpu_core/event=0x24,umask=0xc1/u                                     (0,00%)
     0.072613417      <not counted>      cpu_core/event=0xd1,umask=0x01/u                                     (0,00%)
