# started on Thu Feb 29 14:31:29 2024

#           time             counts unit events
     0.034715513      <not counted>      cpu_core/event=0x24,umask=0xc1/u                                     (0,00%)
     0.034715513      <not counted>      cpu_core/event=0xd1,umask=0x01/u                                     (0,00%)
     0.034715513      <not counted>      cpu_core/event=0xc2,umask=0x02,inv=1,cmask=0x01/u                                     (0,00%)
     0.035902365      <not counted>      cpu_core/event=0x2e,umask=0x41/u                                     (0,00%)
     0.035902365      <not counted>      cpu_core/event=0x24,umask=0xc1/u                                     (0,00%)
     0.035902365      <not counted>      cpu_core/event=0xd1,umask=0x01/u                                     (0,00%)
     0.035902365      <not counted>      cpu_core/event=0xc2,umask=0x02,inv=1,cmask=0x01/u                                     (0,00%)
     0.037115420      <not counted>      cpu_core/event=0x2e,umask=0x41/u                                     (0,00%)
     0.037115420      <not counted>      cpu_core/event=0x24,umask=0xc1/u                                     (0,00%)
     0.037115420      <not counted>      cpu_core/event=0xd1,umask=0x01/u                                     (0,00%)
     0.037115420      <not counted>      cpu_core/event=0xc2,umask=0x02,inv=1,cmask=0x01/u                                     (0,00%)
     0.038292903      <not counted>      cpu_core/event=0x2e,umask=0x41/u                                     (0,00%)
     0.038292903      <not counted>      cpu_core/event=0x24,umask=0xc1/u                                     (0,00%)
     0.038292903      <not counted>      cpu_core/event=0xd1,umask=0x01/u                                     (0,00%)
     0.038292903      <not counted>      cpu_core/event=0xc2,umask=0x02,inv=1,cmask=0x01/u                                     (0,00%)
     0.039472112      <not counted>      cpu_core/event=0x2e,umask=0x41/u                                     (0,00%)
     0.039472112      <not counted>      cpu_core/event=0x24,umask=0xc1/u                                     (0,00%)
     0.039472112      <not counted>      cpu_core/event=0xd1,umask=0x01/u                                     (0,00%)
     0.039472112      <not counted>      cpu_core/event=0xc2,umask=0x02,inv=1,cmask=0x01/u                                     (0,00%)
     0.040648781      <not counted>      cpu_core/event=0x2e,umask=0x41/u                                     (0,00%)
     0.040648781      <not counted>      cpu_core/event=0x24,umask=0xc1/u                                     (0,00%)
     0.040648781      <not counted>      cpu_core/event=0xd1,umask=0x01/u                                     (0,00%)
     0.040648781      <not counted>      cpu_core/event=0xc2,umask=0x02,inv=1,cmask=0x01/u                                     (0,00%)
     0.041838969      <not counted>      cpu_core/event=0x2e,umask=0x41/u                                     (0,00%)
     0.041838969      <not counted>      cpu_core/event=0x24,umask=0xc1/u                                     (0,00%)
     0.041838969      <not counted>      cpu_core/event=0xd1,umask=0x01/u                                     (0,00%)
     0.041838969      <not counted>      cpu_core/event=0xc2,umask=0x02,inv=1,cmask=0x01/u                                     (0,00%)
